project_id,changeNoExpert,percent_selfApprChange,percent_withOutDiscussion,numOfPriorDefects
26427893,5.791190864600326,8.890701468189233,0.0,0
27472783,18.394388152766954,30.16367887763055,11.22369446609509,0
27489574,5.997693194925028,17.762399077277973,2.364475201845444,125
27496810,11.089238845144354,0.0,0.0,189
28261590,0.3856041131105398,27.763496143958868,0.3856041131105398,4
28420571,11.49919398173025,16.657710908113913,4.7286405158516915,294
28687875,4.7328244274809155,0.0,0.0,0
28884786,27.962962962962962,9.25925925925926,0.4629629629629629,140
29379373,23.80038387715931,2.8790786948176583,2.111324376199616,101
29817913,3.7539103232533884,2.815432742440042,0.3128258602711157,0
30169075,15.664845173041895,33.51548269581057,0.0,52
31015510,6.9767441860465125,0.0,0.0,0
31030536,0.08710801393728224,53.484320557491294,0.0,31
31069027,4.689331770222744,0.0,0.0,0
31400029,4.206836108676598,30.850131463628394,8.764241893076251,0
31657027,9.933142311365808,32.139446036294174,2.8175740210124167,24
34600889,0.5802707930367504,33.46228239845261,0.0,169
36761320,3.3807829181494666,2.580071174377224,0.3558718861209964,1
40955019,0.5905511811023622,0.0,0.0,0
47838894,14.341517857142858,0.5022321428571429,0.05580357142857143,65
51732151,4.878048780487805,58.94308943089431,0.0,0
11161411,0.0,0.0,0.0,0
27940657,0.0,0.0,0.0,0
29026813,0.0,0.0,0.0,0
29126205,0.0,0.0,0.0,0
31125446,0.0,0.0,0.0,0
32552050,0.0,0.966183574879227,0.0,0
34561609,0.0,3.191489361702128,0.0,0
35149818,0.0,0.0,0.0,0
41010830,0.0,72.56637168141594,0.0,15
41339733,0.0,0.0,0.0,0
47754491,0.0,0.0,0.0,0
52512066,0.0,0.0,0.0,0
56604179,0.0,0.0,0.0,0
