target,feature,correlation,p-value
mi,size,-0.1819831926127686,0.0006016828967713914
mi,cc_score,-0.262765623984066,5.717367323150837e-07
mi,total_author,-0.014608357785056853,0.7847634467308724
mi,fork_count,-0.006225517012192389,0.9073460562785038
mi,openIssue_count,0.012320847213040446,0.8178228378385083
mi,closedIssue_count,0.017359045161794994,0.7455212440068804
mi,openPullrequest_count,0.047528914980823,0.3739750169814947
mi,closedPullrequest_count,0.04746655760677183,0.3746028971344767
mi,mergedPullrequest_count,0.058192615124350866,0.27622898373327703
mi,total_commit_project,-0.02522887496721853,0.637121582085753
mi,max_day_diff,-0.016091647354692193,0.7635275970435828
mi,max_contribution,0.03816674496408709,0.4753603284484772
cross-entropy,size,-0.0583702654088099,0.2747630590431
cross-entropy,cc_score,0.13587267364880987,0.010711418420705561
cross-entropy,total_author,0.09260355787103852,0.08275026116899868
cross-entropy,fork_count,0.02179156935470689,0.6836846895209772
cross-entropy,openIssue_count,0.014720325976342718,0.7831546302158744
cross-entropy,closedIssue_count,0.04821515456337185,0.367108121396139
cross-entropy,openPullrequest_count,0.06452059943798245,0.22725254821023114
cross-entropy,closedPullrequest_count,0.07124204912473922,0.18234808657992105
cross-entropy,mergedPullrequest_count,0.06533264971563954,0.22144457983416738
cross-entropy,total_commit_project,0.08817934779560133,0.09859052521256831
cross-entropy,max_day_diff,0.11558200761730406,0.03015347875363131
cross-entropy,max_contribution,-0.044280905878255734,0.40753759236749354
