project_id,total_author
1142,1402
1490,36
8081,8
8871,116
9793,620
10824,1519
11453,8
13666,57
31723,584
45658,191
54266,16
55818,46
62741,18
64630,38
69206,1066
85925,2
131909,3
144335,9
153663,27
181526,220
188867,4
194154,2
195159,72
223561,23
286987,13
323872,201
333065,4
417964,7
480189,103
494272,2
506900,1
680323,8
701640,2
728153,25
775232,5
795859,1
802405,6
809314,153
829649,90
856441,6
894588,1
901605,2
1062235,36
1069376,1
1193745,1
1432841,1
1522387,2
1974423,7
2230747,14
2309585,2
2467274,6
2501984,2
2511063,3
2689873,2
2771113,1
2789109,7
2794780,46
2847704,3
2884492,1
3010407,2
3111304,1
3182310,5
3202818,2
3213843,63
3219077,68
3605768,1
3672400,1
3780176,12
3867439,1
3879861,91
3929178,722
3946682,3
4022910,1
4027987,4
4378847,1
4429866,1
4449031,12
4473333,142
4542112,1
4757690,4
4766756,4
4837138,24
4845094,10
4928468,2
5017985,1
5080558,1
5112713,1
5114635,3
5157401,19
5374655,17
5490882,2
5531064,2
5541827,15
5541830,4
5774282,1
5783454,4
6065028,4
6120371,2
6197453,1
6211510,1
6369242,8
6389567,5
6476018,1
6509126,9
6647075,1
6850710,1
7296431,3
7332763,1
7405649,7
7484910,2
7517171,1
7565205,5
7667597,1
7710184,2
7808844,9
7820774,1
8263008,19
8429554,1
8528375,1
8533092,1
8642892,5
8892059,2
8961082,31
8964129,27
9011315,2
9220450,4
9313674,7
9408755,1
9555207,1
9714508,35
9755597,2
9806716,13
9859425,40
9911373,1
9914117,173
9936411,178
9992447,5
9995770,1
10016145,1
10083240,3
10095118,2
10230856,2
10275805,1
10468973,37
10491744,6
10535452,163
10597460,4
10609057,25
10617561,162
10749359,2
10752221,2
10768726,2
10775142,3
11015752,69
11114278,2
11201097,1
11637464,65
11664079,28
11745340,3
11765420,1
11803289,2
11881598,4
12286104,7
12365328,1
12390090,9
12445377,1
12482617,4
12482853,2
12493589,1
12555637,4
12573478,1
12984034,2
13046341,1
13374672,12
13407016,18
13485883,2
13498939,7
13575507,1
13591501,41
13745503,1
13800286,2
13825157,9
13936271,1
13963468,6
13988762,1
14029541,1
14145861,1
14218149,1
14286544,5
14536251,36
14752755,1
14819160,95
14838321,4
14870171,2
14989147,2
15105024,9
15219914,3
15408689,2
15630156,1
15634015,8
15777563,76
15789441,3
15818554,1
15848561,5
15850753,1
16027393,6
16102031,1
16193225,1
16425799,1
16467857,1
16472186,131
16619714,1
16620617,1
16708479,1
17026758,3
17172918,2
17389423,2
17440881,1
17498336,3
17632542,3
17663271,1
17665409,14
17760550,17
17785499,2
17796761,8
17801506,1
17816625,1
18000409,2
18023673,2
18129905,1
18264371,6
18270718,1
18284713,3
18290332,1
18332120,1
18422785,1
18548728,2
18826708,1
18838350,1
18861790,2
19531511,1
19532442,1
19556947,1
19713594,1
19758265,12
19848115,1
19938807,1
19968609,1
19982733,5
19982922,2
20077201,8
20187604,3
20593971,4
20648244,2
20662877,8
20667964,1
20693413,2
21146530,2
21201454,43
21322704,1
21360040,2
21561964,2
21620625,6
21685135,57
22041731,138
22086032,3
22216656,1
22304244,1
22331853,2
22458274,1
22654622,1
22752448,84
23066372,1
23441058,1
23686537,10
23996356,1
24796473,1
24841797,8
24938794,1
24965137,13
25224120,1
25333585,1
25833787,5
25865890,13
26221512,1
26348442,8
26565684,2
27105955,12
27148904,10
27232554,1
27368905,5
27517172,1
27552291,1
27590149,1
27683090,1
27984276,2
28132474,1
28370725,75
28429046,3
28506839,1
28544819,1
28703055,2
28707063,1
28851790,7
28977818,11
28987187,4
29085491,1
29168314,2
29209187,1
29257438,1
29352963,1
29365494,1
29559601,1
29612597,2
29669543,3
29873244,1
29875128,1
30149217,2
30277669,2
30482691,1
30563070,2
30593749,1
30597136,2
30682266,8
30791858,1
30842366,2
30932642,4
30988846,1
31011708,1
31150321,61
31266028,6
31462338,1
31462347,1
31472502,2
31675261,2
32717382,7
34611402,1
34845713,1
34905286,1
36769710,2
38021184,1
43033531,1
47727488,13
48762605,2
52515283,1
52785686,2
52835462,5
52841113,1
52922816,1
53111668,1
53262729,1
56567840,1
57133846,1
57321820,2
57421331,1
57439611,1
