project_id,total_commit_project
1142,64542
1490,310
8081,853
8871,12006
9793,24720
10824,47627
11453,74
13666,1313
31723,12125
45658,19584
54266,2370
55818,12866
62741,1112
64630,4193
69206,19549
85925,450
131909,53
144335,147
153663,3925
181526,61668
188867,11
194154,106
195159,11436
223561,424
286987,348
323872,2512
333065,22
417964,226
480189,1368
494272,264
506900,127
680323,131
701640,9
728153,2379
775232,34
795859,23
802405,969
809314,33860
829649,1232
856441,256
894588,20
901605,45
1062235,122
1069376,1
1193745,2
1432841,2
1522387,6
1974423,319
2230747,102
2309585,81
2467274,102
2501984,5
2511063,14
2689873,8
2771113,18
2789109,25
2794780,2485
2847704,107
2884492,1
3010407,21
3111304,2
3182310,289
3202818,148
3213843,713
3219077,7809
3605768,379
3672400,147
3780176,622
3867439,90
3879861,28000
3929178,167912
3946682,35
4022910,4
4027987,32
4378847,10
4429866,17
4449031,1256
4473333,2943
4542112,11
4757690,56
4766756,782
4837138,4777
4845094,104
4928468,20
5017985,4
5080558,10
5112713,58
5114635,217
5157401,10534
5374655,2885
5490882,74
5531064,801
5541827,4561
5541830,192
5774282,14
5783454,91
6065028,51
6120371,8
6197453,107
6211510,186
6369242,109
6389567,1977
6476018,8
6509126,468
6647075,3
6850710,13
7296431,235
7332763,4
7405649,61
7484910,12
7517171,6
7565205,21
7667597,70
7710184,47
7808844,82
7820774,5
8263008,683
8429554,1
8528375,54
8533092,137
8642892,68
8892059,23
8961082,1720
8964129,3430
9011315,27
9220450,22
9313674,233
9408755,24
9555207,3
9714508,369
9755597,123
9806716,899
9859425,6677
9911373,9
9914117,10045
9936411,7071
9992447,853
9995770,6
10016145,6
10083240,100
10095118,10
10230856,22
10275805,4
10468973,1137
10491744,1279
10535452,46200
10597460,24
10609057,1669
10617561,6779
10749359,38
10752221,6
10768726,5
10775142,307
11015752,6814
11114278,20
11201097,4
11637464,2445
11664079,1073
11745340,52
11765420,121
11803289,5
11881598,30
12286104,1873
12365328,692
12390090,361
12445377,2
12482617,764
12482853,988
12493589,16
12555637,70
12573478,268
12984034,660
13046341,17
13374672,499
13407016,1343
13485883,244
13498939,159
13575507,3
13591501,909
13745503,94
13800286,10
13825157,149
13936271,5
13963468,83
13988762,35
14029541,19
14145861,9
14218149,3
14286544,81
14536251,2123
14752755,2
14819160,4501
14838321,146
14870171,3
14989147,12
15105024,656
15219914,86
15408689,407
15630156,3
15634015,141
15777563,9183
15789441,39
15818554,8
15848561,109
15850753,133
16027393,776
16102031,59
16193225,32
16425799,131
16467857,3
16472186,11457
16619714,8
16620617,1
16708479,3
17026758,26
17172918,141
17389423,3
17440881,3
17498336,32
17632542,102
17663271,4
17665409,251
17760550,909
17785499,22
17796761,15
17801506,136
17816625,2
18000409,5
18023673,102
18129905,44
18264371,296
18270718,2
18284713,27
18290332,16
18332120,21
18422785,6
18548728,38
18826708,5
18838350,3
18861790,14
19531511,4
19532442,63
19556947,11
19713594,3
19758265,341
19848115,1
19938807,2
19968609,5
19982733,31
19982922,18
20077201,126
20187604,267
20593971,131
20648244,17
20662877,90
20667964,7
20693413,4
21146530,65
21201454,7248
21322704,21
21360040,15
21561964,187
21620625,260
21685135,1440
22041731,16627
22086032,39
22216656,12
22304244,3
22331853,5
22458274,6
22654622,359
22752448,25178
23066372,4
23441058,25
23686537,1220
23996356,26
24796473,8
24841797,1289
24938794,27
24965137,438
25224120,94
25333585,12
25833787,22
25865890,355
26221512,54
26348442,1119
26565684,2
27105955,298
27148904,46
27232554,9
27368905,410
27517172,23
27552291,5
27590149,25
27683090,1
27984276,17
28132474,32
28370725,5061
28429046,20
28506839,3
28544819,18
28703055,30
28707063,19
28851790,177
28977818,176
28987187,191
29085491,27
29168314,5
29209187,51
29257438,29
29352963,5
29365494,8
29559601,2
29612597,10
29669543,19
29873244,3
29875128,4
30149217,3
30277669,6
30482691,50
30563070,61
30593749,2
30597136,14
30682266,131
30791858,8
30842366,58
30932642,269
30988846,15
31011708,14
31150321,1616
31266028,16
31462338,2
31462347,2
31472502,12
31675261,4
32717382,65
34611402,16
34845713,9
34905286,3
36769710,4
38021184,2
43033531,4
47727488,918
48762605,24
52515283,9
52785686,48
52835462,85
52841113,103
52922816,3
53111668,4
53262729,4
56567840,10
57133846,2
57321820,8
57421331,17
57439611,2
